"Magic, pretended miracles and remarkable natural phenomena ; Remarkable delusions : or, Illustrations of popular errors.",,English,1855
"The round, an introduction","Santiago, Edward, 1904-",English,1942
"In defense of magic; the meaning and use of symbol and rite,","Smith, Catharine Cook.",English,1930
"The supernatural philosopher: or, The mysteries of magick, in all its branches, clearly unfolded ... All exemplified in the history of the life and surprizing adventures of Mr. Duncan Campbell ... Collected and compiled from the most approved authorities. Wherein is inserted, that most celebrated tract written by Dr. Wallis, The method of teaching deaf and dumb persons to read, write, and understand a language.","Bond, William, -1735.",English,1728
A study of the magic elements in the romans d'aventure and the romans bretons ... part 1 ...,"Easter, De La Warr Benjamin.",English,1906
"The Johns Hopkins Tabellae defixionum,","Fox, William Sherwood, 1878-",English,1912
"Magical jewels of the middle ages and the renaissance, particularly in England,","Evans, Joan, 1893-",English,1922
"Anglo-Saxon magic and medicine.  Illustrated specially from the semi-pagan text ""Lacnunga,""","Grattan, John Henry Grafton, 1878-1951.",English,1952
"The mascot book; a popular encyclopædia of bringers of luck, with their attendant legends and beliefs--talismans from every land--eastern lore and mystery--gipsy traditions, etc.,","Villiers, Elizabeth.",English,1929
Ritual magic,"Butler, E. M. (Eliza Marian), 1885-1959.",English,1949
The mysteries and secrets of magic.,"Thompson, C. J. S. (Charles John Samuel), 1862-1943.",English,1928
"The magical writings of Thomas Vaughan (Eugenius Philatethes) A verbatim reprint of his first four treatises: Anthroposophia theomagica, Anima magica abscondita, Magia adamica, and the true Cœlum terræ;","Vaughan, Thomas, 1622-1666.",English,1888
"Magic, a sociological study.","Webster, Hutton, 1875-1955.",English,1948
The history of magic,"Ennemoser, Joseph, 1787-1854.",English,1854
"Letters on natural magic : addressed to Sir Walter Scott, Bart.","Brewster, David, Sir, 1781-1868.",English,1839
"An history of magic, witchcraft, and animal magnetism.","Colquhoun, J. C. (John Campbell), 1785-1854.",English,1851
The magical ritual of the sanctum regnum interpreted by the Tarot trumps.,"Lévi, Eliphas, 1810-1875.",English,1971
Magic and fetishism,"Haddon, Alfred C. (Alfred Cort), 1855-1940.",English,1910
The secret science behind miracles.,"Long, Max Freedom, 1890-1971.",English,1948
The secret science behind miracles.,"Long, Max Freedom, 1890-1971.",English,1954
The ancients book of magic; an historical record of the secret procedures and practices of the ancient masters and adepts.,"De Claremont, Lewis.",English,1936
Modern magic.,"Schele de Vere, M. (Maximilian), 1820-1898.",English,1873
"The magic of jewels and charms,","Kunz, George Frederick, 1856-1932.",English,1915
The history of magick :,"Naudé, Gabriel, 1600-1653.",English,1657
"Witchcraft, oracles and magic among the Azande,","Evans-Pritchard, E. E. (Edward Evan), 1902-1973.",English,1937
"Lives of the necromancers. Or, An account of the most eminent persons in successive ages, who have claimed for themselves, or to whom has been imputed by others, the exercise of magical power.","Godwin, William, 1756-1836.",English,1835
Lives of the necromancers:...,"Godwin, William, 1756-1836.",English,1834
The delights of chess.,"Fraenkel, Heinrich, 1897-1986.",English,1960
"Egyptian magic,","Budge, E. A. Wallis (Ernest Alfred Wallis), Sir, 1857-1934.",English,1899
"Hindu magic,","Carrington, Hereward, 1880-1959.",English,1909
Adventures of the mind.,"Castiglioni, Arturo, 1874-1953.",English,1946
"The history of magic, including a clear and precise exposition of its procedure, its rites and its mysteries,","Lévi, Eliphas, 1810-1875.",English,1914
"The history of magic, including a clear and precise exposition of its procedure, its rites and its mysteries,","Lévi, Eliphas, 1810-1875.",English,1922
"The history of magic, including a clear and precise exposition of its procedure, its rites and its mysteries,","Lévi, Eliphas, 1810-1875.",English,1940
Transcendental magic : its doctrine and ritual,"Lévi, Eliphas, 1810-1875.",English,1938
"A compleat system of magick; or, The history of the black-art ...","Defoe, Daniel, 1661?-1731.",English,1729
"The old book of magic; a precise history of magic, its procedure, rites and mysteries as contained in ancient manuscripts, embellished with engravings of wonderful charms and talismans,","De Laurence, L. W. (Lauron William), b. 1868.",English,1918
The history of magic,"Ennemoser, Joseph, 1787-1854.",English,1854
Magie und Zauberei in der alten Welt,"Aram, Kurt.",English,1927
The lives of the conjurors.,"Frost, Thomas, 1821-1908.",English,1881
Magic and divination,"Gleadow, Rupert.",English,1941
"Lives of the necromancers : or, An account of the most eminent persons in successive ages who have claimed for themselves, or to whom has been imputed by others, the exercise of magical power","Godwin, William, 1756-1836.",English,1876
Chaldean magic: its origin and development.,"Lenormant, François, 1837-1883.",English,1877
"Magic in Greek & Latin literature,","Lowe, Joyce Egerton, 1892-",English,1929
"Magicians, seers and mystics.","Magre, Maurice, 1877-1941.",English,1932
The return of the magi,"Magre, Maurice, 1877-1941.",English,1931
"Magic and mind,","Radclyffe, Edward John Dilston, 1882-",English,1932
"The magic of the middle ages,","Rydberg, Viktor, 1828-1895.",English,1879
The mirror of magic.,"Seligmann, Kurt, 1900-1962.",English,1948
"Malay magic; being an introduction to the folklore and popular religion of the Malay Peninsula,","Skeat, Walter William, 1866-",English,1900
"Studies in magic from Latin literature,","Tavenner, Eugene, 1878-",English,1916
Magic and mystery : a popular history,"Thompson, Alfred.",English,1894
Indian magic and the testimony of conjurers.,"Hodgson, Richard, 1855-1905.",English,1894
The myth of the magus.,"Butler, E. M. (Eliza Marian), 1885-1959.",English,1948
"The Astrologer's magazine, and philosophical miscellany.",,English,1791
"The history of the devil and the idea of evil, from the earliest times to the present day,","Carus, Paul, 1852-1919.",English,1900
"The story of the devil,","Graf, Arturo, 1848-1913.",English,1931
The devils of Loudun.,"Huxley, Aldous, 1894-1963.",English,1952
"Satan, a portrait : a study of the character of Satan through all the ages","Langton, Edward, 1886-",English,1946
The Devil;,"Papini, Giovanni, 1881-1956.",English,1954
The satanic mass; a sociological and criminological study.,"Rhodes, Henry T. F. (Henry Taylor Fowkes), 1892-",English,1954
The devil's share,"Rougemont, Denis de, 1906-",English,1944
The life of the devil,"Turmel, Joseph, 1859-1943.",English,1929
"Devils,","Wall, James Charles.",English,1904
"The devil; an historical, critical and medical study.","Gar̨con, Maurice, b. 1889.",English,1929
An essay towards a theory of apparitions.,"Ferriar, John, 1761-1815.",English,1813
"Spectropia, or, Surprising spectral illusions : showing ghosts everywhere, and of any colour","Brown, J. H.",English,1866
"Historic ghosts and ghost hunters,","Bruce, H. Addington (Henry Addington), 1874-",English,1908
"Modern ghost stories : a medley of drama, impressions and spectral illusions","Buckingham, Emma May.",English,1906
"Phantasms of the dead; or, True ghost stories,","Carrington, Hereward, 1880-1959.",English,1920
Men that would not stay dead. Twenty-six authentic ghost stories.,"Clarke, Ida Clyde.",English,1936
"Apparitions; an essay, explanatory of old facts and a new theory. To which are added, Sketches and adventures.","Crosland, Newton, 1819-1899.",English,1873
Here are ghosts and witches.,"Day, J. Wentworth (James Wentworth), 1899-1983",English,1954
Unsolved mysteries; a collection of weird problems from the past.  With contributions and historical research by Larry Forrester and Peter Robinson.,"Dyall, Valentine.",English,1954
Haunted houses,"Flammarion, Camille, 1842-1925.",English,1924
"Great ghost stories, selected by Joseph Lewis French;","French, Joseph Lewis, 1858-1936. com",English,1918
"The ghost world,","Dyer, T. F. Thiselton (Thomas Firminger Thiselton), 1848-",English,1893
"The night-side of nature; or, Ghosts and ghost seers,","Crowe, Catherine, 1790-1876.",English,1901
Ghost tales and legends,"Gauld, H. Drummond.",English,1929
Ghost stories : collected with a particular view to counteract the vulgar belief in ghosts and apparitions,,English,1846
"Lord Halifax's ghost book, a collection of stories of haunted houses, apparitions, and supernatural occurrences","Halifax, Charles Lindley Wood, Viscount, 1839-1934.",English,1936
"Haunted houses; tales of the supernatural, with some account of hereditary curses and family legends,","Harper, Charles G. (Charles George), 1863-1943.",English,1924
Ghosts over England.,"Hopkins, Robert Thurston, 1884-",English,1953
The world's strangest ghost stories,"Hopkins, Robert Thurston, 1884-",English,1955
The haunted homes and family traditions of Great Britain,"Ingram, John Henry, 1842-1916.",English,1897
"Spooks of the valley; ghost stories for boys and girls,","Jones, Louis Clark, 1908-",English,1948
"The book of dreams and ghosts,","Lang, Andrew, 1844-1912.",English,1899
"Of ghostes and spirites walking by nyght, 1572,","Lavater, Ludwig, 1527-1586.",English,1929
"Virginia ghosts,","Lee, Marguerite du Pont, 1862-1936.",English,1930
"Virginia ghosts and others,","Lee, Marguerite du Pont, 1862-1936.",English,1932
Ghost book.,"Leslie, Shane, 1885-1971.",English,1955
The ghost book : strange hauntings in Britain,"MacGregor, Alasdair Alpin Douglas, 1899-1970.",English,1955
"Macleod's History of witches, &c. : the majesty of darkness discovered, in a series of tremendous tales, mysterious, interesting and entertaining, of apparitions, witches, augurs, magicians, dreams, visions and revelations, in confirmation of a future state, and the superintendency of a Divine Providence, by the agency of spirits and angels","M'Cleod, Malcolm.",English,1814
"The majesty of darkness discovered in a series of tremendous tales, mysterious, interesting, and entertaining of apparitions, witches, augurs, magicians, dreams, visions, and revelations, in confirmation of a future state.","MacLeod, Malcolm.",English,1804
An adventure.,"Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1911
An adventure.,"Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1931
Adventure,"Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1934
An adventure. With a preface by Edith Olivier and a note by J. W. Dunne.,"Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1935
"An adventure,","Moberly, C. A. E. (Charlotte Anne Elizabeth), 1846-1937.",English,1955
"""Ghosts or devils"" I'm done","Moore, Francis M. (Francis Marion), b. 1846.",English,1908
"The case for astral projection,","Muldoon, Sylvan Joseph.",English,1936
"Animal ghosts : or, Animal hauntings and the hereafter","O'Donnell, Elliott, 1872-1965.",English,1913
"Confessions of a ghost hunter,","O'Donnell, Elliott, 1872-1965.",English,1928
Dangerous ghosts.,"O'Donnell, Elliott, 1872-1965.",English,1955
Family ghosts and ghostly phenomena,"O'Donnell, Elliott, 1872-1965.",English,1933
"Ghostly phenomena,","O'Donnell, Elliott, 1872-1965.",English,1910
"Ghosts of London,","O'Donnell, Elliott, 1872-1965.",English,1932
Haunted highways and byways,"O'Donnell, Elliott, 1872-1965.",English,1914
"Haunted places in England,","O'Donnell, Elliott, 1872-1965.",English,1919
"Scottish ghost stories,","O'Donnell, Elliott, 1872-1965.",English,1911
Telepathic hallucinations : the new view of ghosts,"Podmore, Frank, 1856-1910.",English,1909
"The end of Borley rectory, 'the most haunted house in England',","Price, Harry, 1881-1948.",English,1946
"The most haunted house in England': ten years̓ investigation of Borley Rectory,","Price, Harry, 1881-1948.",English,1940
"Poltergeist over England; three centuries of mischievous ghosts,","Price, Harry, 1881-1948.",English,1945
Gallery of ghosts.,"Reynolds, James, 1891-",English,1949
Ghosts in American houses,"Reynolds, James, 1891-",English,1955
Ghosts in Irish houses.,"Reynolds, James, 1891-",English,1947
"Historic British ghosts,","Sergeant, Philip W. (Philip Walsingham), 1872-1952",English,1936
Poltergeists; an introduction and examination followed by chosen instances,"Sitwell, Sacheverell, 1897-1988.",English,1940
"Unbidden guests, a book of real ghosts,","Stevens, William Oliver, 1878-1955.",English,1946
The mystery of Versailles : a complete solution,"Sturge-Whiting, J. R.",English,1938
"Apparitions; or, The mystery of ghosts, hobgoblins, and haunted houses developed.","Taylor, Joseph, 1761 or 1762-1844.",English,1815
"The mystery and lore of apparitions, with some account of ghosts, spectres, phantoms and boggarts in early times,","Thompson, C. J. S. (Charles John Samuel), 1862-1943.",English,1930
Ghosts and poltergeists;,"Thurston, Herbert, 1856-1939.",English,1954
Ghosts I have seen : and other psychic experiences,"Tweedale, Violet, 1862?-1936.",English,1919
The Epworth phenomena : to which are appended certain psychic experiences recorded by John Wesley in the pages of his Journal,"Wright, Dudley, 1868-1949.",English,1920
"Sketches of the philosophy of apparitions; or, An attempt to trace such illusions to their physical causes.","Hibbert, Samuel, 1782-1848.",English,1825
Foretold : stories of modern second-sight,"Le Champion, Loftus Claude Gerald, 1895-",English,1934
Omens and superstitions: curious facts and illustrative sketches.,,English,1868
"The ghost world; its realities, apparitions & spooks,","Wickwar, J. W. (John William), b. 1874.",English,1920
Ghost stories; collected with a particular view to counteract the vulgar belief in ghosts and apparitions.,,English,1865
"Ghosts that still walk, real ghosts of America,","Lowndes, Marion S.",English,1945
"Macleod's history of witches, etc., etc., etc., The magesty of darkness discovered in series of tremenous tales ... in confirmation of a future state ...","McLeod, Malcolm, D.D.",English,1802
"A history of dreams, visions, apparitions, ecstasy, magnetism, and somnabulism.","Brierre de Boismont, Alexandre-Jacques-François, 1798-1881.",English,1855
The book of were-wolves: being an account of a terrible superstition.,"Baring-Gould, S. (Sabine), 1834-1924.",English,1865
"The confessions of Madeleine Bavent,","Bavent, Madeleine, 1607?-1652?",English,1933
Wild men in the Middle Ages.,"Bernheimer, Richard.",English,1952
The American gentleman,"Butler, Charles, of Philadelphia.",English,1839
"Haunted people; story of the poltergeist down the centuries,","Carrington, Hereward, 1880-1959.",English,1951
"An appeal to the public respecting George Lukins (called the Yatton demoniac) : containing an account of his affliction and deliverance, together with a variety of circumstances which tend to exculpate him from the charge of imposture","Easterbrook, Joseph.",English,1788
"The great apostle unmask'd; or, A reply to the Rev. Mr. Easterbrook's appeal, in defence of his daemoniac, George Lukins ...","Norman, Samuel.",English,1788
"Witchcraft in the Star chamber,","Ewen, C. L'Estrange (Cecil L'Estrange), 1877-",English,1938
"A dialogue concerning witches & witchcrafts,","Gifford, George, d. 1620.",English,1842
By the finger of God; demon possession and exorcism in early Christianity in the light of modern views of mental illness.,"McCasland, S. Vernon (Selby Vernon), 1896-1970.",English,1951
Werwolves,"O'Donnell, Elliott, 1872-1965.",English,1912
"Possession, demoniacal and other, among primitive races, in antiquity, the Middle Ages, and modern times.","Oesterreich, Traugott Konstantin, 1880-1949.",English,1930
"Possession, demoniacal and other : among primitive races in antiquity, the Middle Ages, and modern times","Oesterreich, Traugott Konstantin, 1880-1949.",English,1930
Steps to self-mastery,"Parchment, Samuel Richard, 1881-",English,1932
Demonolatry,"Remy, Nicolas, approximately 1525-1612.",English,1930
"The origin of the werewolf superstition,","Stewart, Caroline Taylor.",English,1909
"The vampire, his kith and kin,","Summers, Montague, 1880-1948.",English,1928
"The werewolf,","Summers, Montague, 1880-1948.",English,1933
"The werewolf,","Summers, Montague, 1880-1948.",English,1934
Prince of darkness.,"Verner, Gerald, ed.",English,1946
Vampires and vampirism,"Wright, Dudley, 1868-1949.",English,1915
"The wonders of the invisible world. Being an account of the tryals of several witches lately executed in New England. To which is added, A farther account of the tryals of the New-England witches.","Mather, Cotton, 1663-1728.",English,1862
Vampires and vampirism.,"Wright, Dudley, 1868-1949.",English,1924
"The pagan Bible, or, Angels ancient & modern; an anthology on the soul & its helpers according to the ancients, Homer, Hesiod, Cebes, Plato, Cicero, Virgil: and the moderns, Plutarch, Apuleius, Maximus, Plotinus, Synesius, Zosimus, Proclus, & Dionysius the Areopagite.","Guthrie, Kenneth Sylvan, 1871-1940. com",English,1925
Satan's invisible world discovered ...,"Sinclair, George.",English,1871
"The demon; or, A case of extraordinary affliction, and gracious relief, the effects of spiritual agency; carefully examined, and faithfully narrated: with observations on demoniac possession, and animadversions on superstition.","Heaton, James.",English,1822
Demoniacal obsession and possession as causes of insanity.,"Williams, C.",English,1911
"Bibliographical notes on witchcraft in Massachusetts,","Moore, George Henry, 1823-1892.",English,1888
"The experiments used by a capt. of a man of war, for promoting conversation by pictures, and other mediums.",,English,1751
"More ghost stories of an antiquary,","James, M. R. (Montague Rhodes), 1862-1936.",English,1916
"The Greek Pilgrim's progress : being a translation of the ""Picture"", by Kebes ; englished and illustrated by Kenneth Sylvan Guthrie.",,English,1925
"The demonism of the ages, spirit obsessions so common in spiritism, oriental and occidental occultism","Peebles, J. M. (James Martin), 1822-1922.",English,1904
Supplementary notes on witchcraft in Massachusetts: a critical examination of the alleged law of 1711 for reversing the attainders of the witches of 1692.,"Moore, George Henry, 1823-1892.",English,1884
"Final notes on witchcraft in Massachusetts: a summary vindication of the laws and liberties concerning attainders with corruption of blood, escheats, forfeitures for crime, and pardon of offenders, in reply to ""Reasons,"" etc., of Hon. Abner C. Goodell, jr.","Moore, George Henry, 1823-1892.",English,1885
"The Impossibility of witchcraft : plainly proving from scripture and reason that there never was a witch and that it is both irrational and impious to believe that there ever was ; in which the depositions against Jane Wenham, lately try'd and condemn'd for a witch at Hertford are confuted and exposed.",,English,1712
The last song of Lucifer.,"Lindsay, Vachel, 1879-1931.",English,1908
English witchcraft and James the First,"Kittredge, George Lyman, 1860-1941.",English,1912
"Reasons for concluding that the Act of 1711, reversing the attainders of the persons convicted of witchcraft in Massachusetts in the year 1692, became a law. Being a reply to Supplementary notes, etc., by George H. Moore, LL.D.,","Goodell, Abner Cheney, 1831-1914.",English,1884
Notes on the history of witchcraft in Massachusettes;,"Moore, George Henry, 1823-1892.",English,1883
"The gods . : the immacualte conception. Setting forth the mystery of the ages, and how this supposed impossible condition is really under natural and divine laws. Giving full details and a challenge to all the world.","Clymer, R. Swinburne (Reuben Swinburne), 1878-1966.",English,1910
"Essentials of demonology; a study of Jewish and Christian doctrine, its origin and development.","Langton, Edward, 1886-",English,1949
"Witchcraft and magic of Africa,","Kaigh, Frederick.",English,1947
Exorcism and the art of healing in Ceylon.,"Wirz, Paul, 1892-1955.",English,1954
"An historical essay concerning witchcraft. With observations upon matters of fact; tending to clear the texts of the sacred Scriptures, and confute the vulgar errors about that point. And also two sermons: one in proof of the Christian religion; the other concerning the good and evil angels.","Hutchinson, Francis, 1661-1739.",English,1718
"An essay on demonology, ghosts and apparitions, and popular superstitions; also, an account of the witchcraft delusion at Salem, in 1692.","Thacher, James, 1754-1844.",English,1831
"The devil in Britain and America,","Ashton, John, 1834-",English,1896
"The ""pow-wow"" book; a treatise on the art of ""healing by prayer"" and ""laying on of hands"", etc., practiced by the Pennsylvania-Germans and others; testimonials; remarkable recoveries; popular superstitions; etc., including an account of the famous ""witch"" murder trial, at York, Pa.,","Aurand, A. Monroe (Ammon Monroe), 1895-1956.",English,1929
"An historical, physiological and theological treatise of spirits, apparitions, witchcrafts, and other magical practices ... With a refutation of Dr. Bekker's World bewitch'd; and other authors that have opposed the belief of them.","Beaumont, John, -1731.",English,1705
"Malleus maleficarum,","Institoris, Heinrich, 1430-1505.",English,1928
"The displaying of supposed witchcraft. Wherein is affirmed that there are many sorts of deceivers and impostors, and divers persons under a passive delusion of melancholy and fancy. But that there is a corporeal league made betwixt the devil and the witch, or that he sucks on the witches body...or the like, is utterly denied and disproved.  Wherein also is handled, the existence of angels and spirits, the truth of apparitions...the force of charms, and philters; with other abstruse matters.","Webster, John, 1610-1682.",English,1677
"An examen of witches drawn from various trials of many of this sect in the district of Saint Oyan de Joux, commonly known as Saint Claude, in the county of Burgundy, including the procedure necessary to a judge in trials for witchcraft,","Boguet, Henry, -1619.",English,1929
"A treatise of specters; or, An history of apparitions, oracles, prophecies and predictions, with dreams, visions and revelations, and the cunning delusions of the devil,","Bromhall, Thomas.",English,1658
"An essay on evil spirits; or, reasons to prove their existence : in opposition to a lecture, delivered by the Rev. N.T. Heineken ...","Carlisle, William.",English,1827
"Demonology and devil-lore,","Conway, Moncure Daniel, 1832-1907.",English,1879
"Rowan tree and red thread : a Scottish witchcraft miscellany of tales, legends and ballads : together with a description of the witches̓ rites and ceremonies","Davidson, Thomas Douglas, 1911- com",English,1949
"Witchcraft and demonianism: a concise account derived from sworn depositions and confessions obtained in the courts of England and Wales,","Ewen, C. L'Estrange (Cecil L'Estrange), 1877-",English,1933
Witch hunting and witch trials : the indictments for witchcraft from the records of 1373 Assizes held for the home circuit A.D. 1559-1736,,English,1929
"Dæmonologia: a discourse on witchcraft as it was acted in the family of Mr. Edward Fairfax, of Fuyston, in the county of York, in the year 1621; along with the only two eclogues of the same author known to be in existence.  With a biographical introduction, and notes topographical & illustrative.","Fairfax, Edward, -1635.",English,1882
"Daemonologia sacra; or, A treatise of Satan's temptations.","Gilpin, Richard, 1625-1700.",English,1867
"Demonologia sacra : or, A treatise of Satan's temptations : in three parts","Gilpin, Richard, 1625-1700.",English,1735
Witchcraft.,"Hughes, Pennethorne.",English,1952
"The trial of the Lancaster witches A. D. MDCXII,","Potts, Thomas, active 1612-1618.",English,1929
"Witches still live; a study of the black art today,","Kenyon, Theda.",English,1929
"Witchcraft, magic & alchemy,","Grillot de Givry, 1870-1929.",English,1931
"Compendium maleficarum, collected in three books from many sources by Brother Francesco Maria Guazzo, showing iniquitous and execrable operations of witches against the human race, and the divine remedies by which they may be frustrated;","Guazzo, Francesco Maria.",English,1929
Another grey ghost book : with a chapter on prophetic dreams and a note on vampires,"Middleton, Jessie Adelaide.",English,1914
The white ghost book.,"Middleton, Jessie Adelaide.",English,1916
Magic and witchcraft.,"Moir, George, 1800-1870.",English,1852
"The god of the witches,","Murray, Margaret Alice.",English,1933
"The discovery of witchcraft. Abridged replica of the first edition, 1584.","Scot, Reginald, 1538?-1599.",English,1954
"Letters on demonology and witchcraft : addressed to J.G. Lockhart,esq.","Scott, Walter, 1771-1832.",English,1830
Letters on demonology and witchcraft.,"Scott, Walter, 1771-1832.",English,1831
Letters on demonology and witchcraft,"Scott, Walter, 1771-1832.",English,1836
"The existence of evil spirits proved and their agency, particularly in relation to the human race, explain and illustrated","Scott, Walter, 1779-1858.",English,1853
Letters on demonology and witchcraft.,"Scott, Walter, 1771-1832.",English,1855
Demonology and witchcraft. In a series of letters addressed to J.G. Lockhart.,"Scott, Walter, 1771-1832.",English,1872
"Letters on demonology and witchcraft,","Scott, Walter, 1771-1832.",English,1885
"Witches and warlocks,","Sergeant, Philip W. (Philip Walsingham), 1872-1952",English,1936
Exorcism and the art of healing in Ceylon.,"Wirz, Paul, 1892-1955.",English,1954
Witchcraft and superstitious record in the south-western district of Scotland,"Wood, J. Maxwell (John Maxwell), -1925.",English,1911
The philosophy of witchcraft.,"Mitchell, J. (John), 1786-1856.",English,1839
"A treatise on magic, or, On the intercourse between spirits and men : with annotations","Quitman, Frederick H. (Frederick Henry), 1760-1832.",English,1810
"Witchcraft, its power in the world today","Seabrook, William, 1887-",English,1940
"The ghost world,","Dyer, T. F. Thiselton (Thomas Firminger Thiselton), 1848-",English,1893
"An account of the daemoniacks, and of the power of casting out daemons, both in the New Testament, and in the four first centuries.","Whiston, William, 1667-1752.",English,1737
"Sadducismus triumphatus : or, A full and plain evidence concerning witches and apparitions. In two parts. The first treating of their possibility. The second of their real existence.","Glanvill, Joseph, 1636-1680.",English,1726
La sorciere: The witch of the middle ages.,"Michelet, Jules, 1798-1874.",English,1863
"The world bewitched; or, An examination of the common opinions concerning spirits : their nature, power, administration, and operations ...divided into 4 parts.","Bekker, Balthasar, 1634-1698.",English,1695
